id,pdb1l2j.pdb,pdb1nde.pdb,pdb1qkm.pdb,pdb1u3q.pdb,pdb1u3r.pdb,pdb1u3s.pdb,pdb1u9e.pdb,pdb1x76.pdb,pdb1x78.pdb,pdb1x7b.pdb,pdb1x7j.pdb,pdb1yy4.pdb,pdb1yye.pdb,pdb1zaf.pdb,pdb2fsz.pdb,pdb2giu.pdb,pdb2i0g.pdb,pdb2jj3.pdb,pdb2nv7.pdb,pdb2qtu.pdb,pdb2yjd.pdb,pdb2yly.pdb,pdb2z4b.pdb,pdb3oll.pdb,pdb3ols.pdb,pdb3omo.pdb,pdb3omp.pdb,pdb3omq.pdb,pdb4j24.pdb,pdb4j26.pdb,pdb4zi1.pdb,pdb5toa.pdb,pdb7xvy.pdb,pdb7xvz.pdb,pdb7xwp.pdb,pdb7xwq.pdb,pdb7xwr.pdb
pdb1yy4.pdb,0.113744,0.132948,,,0.029468,0.034286,,0.030534,0.017291,0.023923,0.026743,0.000000,0.030418,0.034549,,,,,0.038936,,0.062797,,,0.085170,0.075382,0.082386,0.079772,0.077143,0.073779,0.079848,0.068868,,,,,,
pdb1yye.pdb,0.117811,0.163158,,,0.027154,0.030447,,0.030447,0.022599,0.019811,0.017225,0.030418,0.000000,0.033050,,,,,0.023540,,0.068117,,,0.081673,0.070543,0.075758,0.071293,0.068637,0.069307,0.066477,0.073937,,,,,,
pdb1zaf.pdb,0.117867,0.163158,,,0.039548,0.033654,,0.032692,0.029412,0.028490,0.035475,0.034549,0.033050,0.000000,,,,,0.036897,,0.063279,,,0.072801,0.064734,0.070058,0.069231,0.066538,0.064257,0.069923,0.078777,,,,,,
pdb2fsz.pdb,,,,0.089041,,,0.081792,,,,,,,,0.000000,,0.057554,0.074850,,0.063265,,0.095573,0.062817,,,,,,,,,0.077148,0.082260,0.078488,0.084548,0.084795,0.085024
pdb2giu.pdb,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,
pdb2i0g.pdb,,,,0.097276,,,0.084813,,,,,,,,0.057554,,0.000000,0.009940,,0.006036,,0.084000,0.007960,,,,,,,,,0.088608,0.084954,0.083333,0.089627,0.092836,0.091000
pdb2jj3.pdb,,,,0.106017,,,0.098470,,,,,,,,0.074850,,0.009940,0.000000,,0.006965,,0.101365,0.009833,,,,,,,,,0.097723,0.097292,0.095379,0.101578,0.102868,0.100980
pdb2nv7.pdb,0.116496,0.167539,,,0.031865,0.029608,,0.031489,0.029190,0.024551,0.023923,0.038936,0.023540,0.036897,,,,,0.000000,,0.056351,,,0.080080,0.071702,0.076923,0.074286,0.069790,0.067729,0.070342,0.077778,,,,,,
pdb2qtu.pdb,,,,0.089655,,,0.084729,,,,,,,,0.063265,,0.006036,0.006965,,0.000000,,0.079798,0.005970,,,,,,,,,0.080313,0.080829,0.077314,0.085540,0.088776,0.085106
pdb2yjd.pdb,0.107796,0.107784,,,0.063507,0.060115,,0.057307,0.061010,0.058206,0.064639,0.062797,0.068117,0.063279,,,,,0.056351,,0.000000,,,0.048806,0.046305,0.049020,0.049068,0.046260,0.044898,0.050831,0.049228,,,,,,
pdb2yly.pdb,,,,0.103416,,,0.105714,,,,,,,,0.095573,,0.084000,0.101365,,0.079798,,0.000000,0.088645,,,,,,,,,0.110900,0.109344,0.103113,0.106654,0.106090,0.111542
pdb2z4b.pdb,,,,0.098058,,,0.093204,,,,,,,,0.062817,,0.007960,0.009833,,0.005970,,0.088645,0.000000,,,,,,,,,0.091522,0.086823,0.082247,0.090452,0.093656,0.089910
pdb3oll.pdb,0.093023,0.143750,,,0.085149,0.078078,,0.076690,0.079158,0.076152,0.078471,0.085170,0.081673,0.072801,,,,,0.080080,,0.048806,,,0.000000,0.031381,0.035380,0.034411,0.031381,0.032397,0.041494,0.045918,,,,,,
pdb3ols.pdb,0.098729,0.134146,,,0.076046,0.071565,,0.060635,0.069923,0.063401,0.068900,0.075382,0.070543,0.064734,,,,,0.071702,,0.046305,,,0.031381,0.000000,0.013632,0.014620,0.015610,0.035491,0.036889,0.040196,,,,,,
pdb3omo.pdb,0.096585,0.128834,,,0.081209,0.076777,,0.065966,0.075167,0.070543,0.075973,0.082386,0.075758,0.070058,,,,,0.076923,,0.049020,,,0.035380,0.013632,0.000000,0.008763,0.013619,0.041451,0.035785,0.041016,,,,,,
pdb3omp.pdb,0.097561,0.128834,,,0.073124,0.070476,,0.063279,0.072519,0.067878,0.071497,0.079772,0.071293,0.069231,,,,,0.074286,,0.049068,,,0.034411,0.014620,0.008763,0.000000,0.006843,0.037422,0.033865,0.041056,,,,,,
pdb3omq.pdb,0.096774,0.134146,,,0.070476,0.065966,,0.060577,0.068008,0.065197,0.066986,0.077143,0.068637,0.066538,,,,,0.069790,,0.046260,,,0.031381,0.015610,0.013619,0.006843,0.000000,0.032359,0.031936,0.036310,,,,,,
pdb4j24.pdb,0.106747,0.137255,,,0.072206,0.064193,,0.059296,0.066733,0.067662,0.064064,0.073779,0.069307,0.064257,,,,,0.067729,,0.044898,,,0.032397,0.035491,0.041451,0.037422,0.032359,0.000000,0.038105,0.036623,,,,,,
pdb4j26.pdb,0.095284,0.143646,,,0.071631,0.065903,,0.060577,0.069458,0.070342,0.066986,0.079848,0.066477,0.069923,,,,,0.070342,,0.050831,,,0.041494,0.036889,0.035785,0.033865,0.031936,0.038105,0.000000,0.042471,,,,,,
pdb4zi1.pdb,0.115314,0.164894,,,0.076357,0.065094,,0.061611,0.075926,0.071495,0.062441,0.068868,0.073937,0.078777,,,,,0.077778,,0.049228,,,0.045918,0.040196,0.041016,0.041056,0.036310,0.036623,0.042471,0.000000,,,,,,
pdb5toa.pdb,,,,0.091328,,,0.085478,,,,,,,,0.077148,,0.088608,0.097723,,0.080313,,0.110900,0.091522,,,,,,,,,0.000000,0.091440,0.080229,0.089952,0.092042,0.086667
pdb7xvy.pdb,,,,0.056919,,,0.055391,,,,,,,,0.082260,,0.084954,0.097292,,0.080829,,0.109344,0.086823,,,,,,,,,0.091440,0.000000,0.031761,0.021548,0.031281,0.029098
pdb7xvz.pdb,,,,0.044359,,,0.046557,,,,,,,,0.078488,,0.083333,0.095379,,0.077314,,0.103113,0.082247,,,,,,,,,0.080229,0.031761,0.000000,0.029496,0.037987,0.029328
pdb7xwp.pdb,,,,0.050584,,,0.054475,,,,,,,,0.084548,,0.089627,0.101578,,0.085540,,0.106654,0.090452,,,,,,,,,0.089952,0.021548,0.029496,0.000000,0.016330,0.030418
pdb7xwq.pdb,,,,0.055447,,,0.056530,,,,,,,,0.084795,,0.092836,0.102868,,0.088776,,0.106090,0.093656,,,,,,,,,0.092042,0.031281,0.037987,0.016330,0.000000,0.040797
pdb7xwr.pdb,,,,0.055019,,,0.050388,,,,,,,,0.085024,,0.091000,0.100980,,0.085106,,0.111542,0.089910,,,,,,,,,0.086667,0.029098,0.029328,0.030418,0.040797,0.000000
